video_id,duration
00000478.mp4,4.17
00000479.mp4,10.13
00000480.mp4,27.77
00000481.mp4,18.77
00000482.mp4,9.17
00000483.mp4,6.92
00000484.mp4,19.38
00000485.mp4,22.83
00000486.mp4,33.17
00000487.mp4,14.9
00000488.mp4,5.42
00000489.mp4,4.76
00000490.mp4,6.17
00000491.mp4,13.01
00000492.mp4,5.58
00000493.mp4,3.4
00000494.mp4,5.07
00000495.mp4,22.83
00000496.mp4,3.92
00000497.mp4,3.8
00000498.mp4,11.29
00000499.mp4,4.0
00000500.mp4,3.0
00000501.mp4,4.5
00000502.mp4,7.63
00000503.mp4,7.2
00000504.mp4,31.17
00000505.mp4,8.52
00000506.mp4,5.33
00000507.mp4,1.04
00000508.mp4,14.17
00000509.mp4,6.73
00000510.mp4,14.5
00000511.mp4,5.67
00000512.mp4,14.88
00000513.mp4,26.58
00000514.mp4,6.03
00000515.mp4,3.97
00000516.mp4,2.52
00000517.mp4,5.4
00000518.mp4,12.67
00000519.mp4,7.0
00000520.mp4,4.46
00000521.mp4,3.0
00000522.mp4,2.12
00000523.mp4,4.0
00000524.mp4,5.33
00000525.mp4,15.8
00000526.mp4,5.0
00000527.mp4,10.93
00000528.mp4,4.07
00000529.mp4,7.07
00000530.mp4,5.56
00000531.mp4,4.58
00000532.mp4,5.83
00000533.mp4,4.96
00000534.mp4,2.8
00000535.mp4,22.5
00000536.mp4,10.0
00000537.mp4,7.13
00000538.mp4,4.83
00000539.mp4,3.0
00000540.mp4,11.07
00000541.mp4,20.63
00000542.mp4,15.42
00000543.mp4,13.2
00000544.mp4,36.17
00000545.mp4,4.71
00000546.mp4,4.2
00000547.mp4,3.56
00000548.mp4,2.76
00000549.mp4,4.37
00000550.mp4,5.37
00000551.mp4,2.0
00000552.mp4,8.5
00000553.mp4,4.5
00000554.mp4,26.88
00000555.mp4,10.6
00000556.mp4,5.78
00000557.mp4,4.9
00000558.mp4,7.17
00000559.mp4,28.43
00000560.mp4,2.0
00000561.mp4,3.46
00000562.mp4,6.46
00000563.mp4,5.0
00000564.mp4,8.57
00000565.mp4,12.87
00000566.mp4,20.43
00000567.mp4,13.33
00000568.mp4,10.0
00000569.mp4,4.68
00000570.mp4,14.42
00000571.mp4,11.13
00000572.mp4,11.9
00000573.mp4,8.04
00000574.mp4,10.92
00000575.mp4,29.54
00000576.mp4,0.84
00000577.mp4,3.48
00000578.mp4,14.67
00000579.mp4,6.79
00000580.mp4,3.25
00000581.mp4,4.2
